Team 1,Team 2,Winner,Margin,Ground,Date,Year,Match_id
RCB,KKR,KKR,140 runs,Bengaluru,Apr-18,2008,335982
Kings XI,Super Kings,Super Kings,33 runs,Mohali,Apr-19,2008,335983
Daredevils,Royals,Daredevils,9 wickets,Delhi,Apr-19,2008,335984
KKR,Chargers,KKR,5 wickets,Eden Gardens,Apr-20,2008,335986
Mumbai,RCB,RCB,5 wickets,Wankhede,Apr-20,2008,335985
Royals,Kings XI,Royals,6 wickets,Jaipur,Apr-21,2008,335987
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,Apr-22,2008,335988
Super Kings,Mumbai,Super Kings,6 runs,Chennai,Apr-23,2008,335989
Chargers,Royals,Royals,3 wickets,Hyderabad,Apr-24,2008,335990
Kings XI,Mumbai,Kings XI,66 runs,Mohali,Apr-25,2008,335991
Super Kings,KKR,Super Kings,9 wickets,Chennai,Apr-26,2008,335993
RCB,Royals,Royals,7 wickets,Bengaluru,Apr-26,2008,335992
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,Apr-27,2008,335995
Mumbai,Chargers,Chargers,10 wickets,DY Patil,Apr-27,2008,335994
RCB,Super Kings,Super Kings,13 runs,Bengaluru,Apr-28,2008,335996
KKR,Mumbai,Mumbai,7 wickets,Eden Gardens,Apr-29,2008,335997
Daredevils,RCB,Daredevils,10 runs,Delhi,Apr-30,2008,335998
Royals,KKR,Royals,45 runs,Jaipur,May-01,2008,336000
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad,May-01,2008,335999
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,May-02,2008,336001
RCB,Chargers,RCB,3 runs,Bengaluru,May-03,2008,336034
Kings XI,KKR,Kings XI,9 runs,Mohali,May-03,2008,336003
Mumbai,Daredevils,Mumbai,29 runs,DY Patil,May-04,2008,336004
Royals,Super Kings,Royals,8 wickets,Jaipur,May-04,2008,336005
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,May-05,2008,336006
Super Kings,Chargers,Chargers,7 wickets,Chennai,May-06,2008,336007
Mumbai,Royals,Mumbai,7 wickets,DY Patil,May-07,2008,336008
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,May-08,2008,336009
KKR,RCB,KKR,5 runs,Eden Gardens,May-08,2008,336010
Royals,Chargers,Royals,8 wickets,Jaipur,May-09,2008,336011
Super Kings,Kings XI,Super Kings,18 runs,Chennai,May-10,2008,336013
Chargers,KKR,KKR,23 runs,Hyderabad,May-11,2008,336014
Royals,Daredevils,Royals,3 wickets,Jaipur,May-11,2008,336015
Kings XI,RCB,Kings XI,9 wickets,Mohali,May-12,2008,336016
KKR,Daredevils,KKR,23 runs,Eden Gardens,May-13,2008,336017
Mumbai,Super Kings,Mumbai,9 wickets,Wankhede,May-14,2008,336018
Daredevils,Chargers,Daredevils,12 runs,Delhi,May-15,2008,336020
Mumbai,KKR,Mumbai,8 wickets,Wankhede,May-16,2008,336021
Royals,RCB,Royals,65 runs,Jaipur,May-17,2008,336023
Daredevils,Kings XI,Kings XI,6 runs,Delhi,May-17,2008,336022
KKR,Super Kings,Super Kings,3 runs,Eden Gardens,May-18,2008,336025
Chargers,Mumbai,Mumbai,25 runs,Hyderabad,May-18,2008,336024
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,May-19,2008,336026
KKR,Royals,Royals,6 wickets,Eden Gardens,May-20,2008,336027
Mumbai,Kings XI,Kings XI,1 run,Wankhede,May-21,2008,336028
Super Kings,RCB,RCB,14 runs,Chennai,May-21,2008,336029
Kings XI,Chargers,Kings XI,6 wickets,Mohali,May-23,2008,336031
Super Kings,Royals,Royals,10 runs,Chennai,May-24,2008,336033
Daredevils,Mumbai,Daredevils,5 wickets,Delhi,May-24,2008,336032
Chargers,RCB,RCB,5 wickets,Hyderabad,May-25,2008,336002
KKR,Kings XI,KKR,3 wickets,Eden Gardens,May-25,2008,336035
Royals,Mumbai,Royals,5 wickets,Jaipur,May-26,2008,336036
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad,May-27,2008,336037
RCB,Mumbai,Mumbai,9 wickets,Bengaluru,May-28,2008,336012
Kings XI,Royals,Kings XI,41 runs,Mohali,May-28,2008,336019
Daredevils,Royals,Royals,105 runs,Wankhede,May-30,2008,336038
Super Kings,Kings XI,Super Kings,9 wickets,Wankhede,May-31,2008,336039
Super Kings,Royals,Royals,3 wickets,DY Patil,Jun-01,2008,336040
Super Kings,Mumbai,Mumbai,19 runs,Cape Town,Apr-18,2009,392181
RCB,Royals,RCB,75 runs,Cape Town,Apr-18,2009,392182
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,Apr-19,2009,392183
Chargers,KKR,Chargers,8 wickets,Cape Town,Apr-19,2009,392184
RCB,Super Kings,Super Kings,92 runs,Gqeberha,Apr-20,2009,392185
Kings XI,KKR,KKR,11 runs,Durban,Apr-21,2009,392186
RCB,Chargers,Chargers,24 runs,Cape Town,Apr-22,2009,392188
Super Kings,Daredevils,Daredevils,9 runs,Durban,Apr-23,2009,392189
KKR,Royals,tied,-,Cape Town,Apr-23,2009,392190
RCB,Kings XI,Kings XI,7 wickets,Durban,Apr-24,2009,392191
Chargers,Mumbai,Chargers,12 runs,Durban,Apr-25,2009,392192
RCB,Daredevils,Daredevils,6 wickets,Gqeberha,Apr-26,2009,392194
Kings XI,Royals,Kings XI,27 runs,Cape Town,Apr-26,2009,392195
Super Kings,Chargers,Chargers,6 wickets,Durban,Apr-27,2009,392196
KKR,Mumbai,Mumbai,92 runs,Gqeberha,Apr-27,2009,392197
Daredevils,Royals,Royals,5 wickets,Centurion,Apr-28,2009,392198
RCB,KKR,RCB,5 wickets,Durban,Apr-29,2009,392199
Kings XI,Mumbai,Kings XI,3 runs,Durban,Apr-29,2009,392200
Chargers,Daredevils,Daredevils,6 wickets,Centurion,Apr-30,2009,392201
Super Kings,Royals,Super Kings,38 runs,Centurion,Apr-30,2009,392202
KKR,Mumbai,Mumbai,9 runs,East London,May-01,2009,392203
RCB,Kings XI,RCB,8 runs,Durban,May-01,2009,392204
Chargers,Royals,Royals,3 wickets,Gqeberha,May-02,2009,392205
Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,May-02,2009,392206
Kings XI,KKR,Kings XI,6 wickets,Gqeberha,May-03,2009,392207
RCB,Mumbai,RCB,9 wickets,Johannesburg,May-03,2009,392208
Super Kings,Chargers,Super Kings,78 runs,East London,May-04,2009,392209
Kings XI,Royals,Royals,78 runs,Durban,May-05,2009,392210
Daredevils,KKR,Daredevils,9 wickets,Durban,May-05,2009,392211
Chargers,Mumbai,Chargers,19 runs,Centurion,May-06,2009,392212
RCB,Royals,Royals,7 wickets,Centurion,May-07,2009,392213
Super Kings,Kings XI,Super Kings,12 runs,Centurion,May-07,2009,392214
Daredevils,Mumbai,Daredevils,7 wickets,East London,May-08,2009,392215
Chargers,Kings XI,Kings XI,3 wickets,Kimberley,May-09,2009,392216
Super Kings,Royals,Super Kings,7 wickets,Kimberley,May-09,2009,392217
RCB,Mumbai,Mumbai,16 runs,Gqeberha,May-10,2009,392218
Daredevils,KKR,Daredevils,7 wickets,Johannesburg,May-10,2009,392219
Chargers,Royals,Chargers,53 runs,Kimberley,May-11,2009,392220
RCB,KKR,RCB,6 wickets,Centurion,May-12,2009,392221
Kings XI,Mumbai,Mumbai,8 wickets,Centurion,May-12,2009,392222
Chargers,Daredevils,Daredevils,12 runs,Durban,May-13,2009,392223
RCB,Super Kings,RCB,2 wickets,Durban,May-14,2009,392224
Mumbai,Royals,Royals,2 runs,Durban,May-14,2009,392225
Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,May-15,2009,392226
Super Kings,Mumbai,Super Kings,7 wickets,Gqeberha,May-16,2009,392227
Chargers,KKR,Chargers,6 wickets,Johannesburg,May-16,2009,392228
Chargers,Kings XI,Kings XI,1 run,Johannesburg,May-17,2009,392229
Daredevils,Royals,Daredevils,14 runs,Bloemfontein,May-17,2009,392230
Super Kings,KKR,KKR,7 wickets,Centurion,May-18,2009,392231
RCB,Daredevils,RCB,7 wickets,Johannesburg,May-19,2009,392232
KKR,Royals,KKR,4 wickets,Durban,May-20,2009,392233
Super Kings,Kings XI,Super Kings,24 runs,Durban,May-20,2009,392234
Daredevils,Mumbai,Daredevils,4 wickets,Centurion,May-21,2009,392235
RCB,Chargers,RCB,12 runs,Centurion,May-21,2009,392236
Chargers,Daredevils,Chargers,6 wickets,Centurion,May-22,2009,392237
Super Kings,RCB,RCB,6 wickets,Johannesburg,May-23,2009,392238
Chargers,RCB,Chargers,6 runs,Johannesburg,May-24,2009,392239
Chargers,KKR,KKR,11 runs,DY Patil,Mar-12,2010,419106
Mumbai,Royals,Mumbai,4 runs,Brabourne,Mar-13,2010,419107
Kings XI,Daredevils,Daredevils,5 wickets,Mohali,Mar-13,2010,419108
KKR,RCB,KKR,7 wickets,Eden Gardens,Mar-14,2010,419109
Super Kings,Chargers,Chargers,31 runs,Chennai,Mar-14,2010,419110
Royals,Daredevils,Daredevils,6 wickets,Ahmedabad,Mar-15,2010,419111
RCB,Kings XI,RCB,8 wickets,Bengaluru,Mar-16,2010,419112
KKR,Super Kings,Super Kings,55 runs,Eden Gardens,Mar-16,2010,419113
Daredevils,Mumbai,Mumbai,98 runs,Delhi,Mar-17,2010,419114
RCB,Royals,RCB,10 wickets,Bengaluru,Mar-18,2010,419115
Daredevils,Super Kings,Super Kings,5 wickets,Delhi,Mar-19,2010,419116
Chargers,Kings XI,Chargers,6 runs,Cuttack,Mar-19,2010,419117
Royals,KKR,Royals,34 runs,Ahmedabad,Mar-20,2010,419118
Mumbai,RCB,RCB,7 wickets,Brabourne,Mar-20,2010,419119
Chargers,Daredevils,Chargers,10 runs,Cuttack,Mar-21,2010,419120
Super Kings,Kings XI,tied,-,Chennai,Mar-21,2010,419121
Mumbai,KKR,Mumbai,7 wickets,Brabourne,Mar-22,2010,419122
RCB,Super Kings,RCB,36 runs,Bengaluru,Mar-23,2010,419123
Kings XI,Royals,Royals,31 runs,Mohali,Mar-24,2010,419124
RCB,Daredevils,Daredevils,17 runs,Bengaluru,Mar-25,2010,419128
Mumbai,Super Kings,Mumbai,5 wickets,Brabourne,Mar-25,2010,419125
Royals,Chargers,Royals,8 wickets,Ahmedabad,Mar-26,2010,419126
Kings XI,KKR,KKR,39 runs,Mohali,Mar-27,2010,419127
Royals,Super Kings,Royals,17 runs,Ahmedabad,Mar-28,2010,419129
Chargers,Mumbai,Mumbai,41 runs,DY Patil,Mar-28,2010,419130
Daredevils,KKR,Daredevils,40 runs,Delhi,Mar-29,2010,419131
Mumbai,Kings XI,Mumbai,4 wickets,Brabourne,Mar-30,2010,419132
Super Kings,RCB,Super Kings,5 wickets,Chennai,Mar-31,2010,419133
Daredevils,Royals,Daredevils,67 runs,Delhi,Mar-31,2010,419134
KKR,Chargers,KKR,24 runs,Eden Gardens,Apr-01,2010,419135
Kings XI,RCB,RCB,6 wickets,Mohali,Apr-02,2010,419136
Super Kings,Royals,Super Kings,23 runs,Chennai,Apr-03,2010,419137
Mumbai,Chargers,Mumbai,63 runs,Brabourne,Apr-03,2010,419138
KKR,Kings XI,Kings XI,8 wickets,Eden Gardens,Apr-04,2010,419139
Daredevils,RCB,Daredevils,37 runs,Delhi,Apr-04,2010,419140
Chargers,Royals,Royals,2 runs,Nagpur,Apr-05,2010,419141
Super Kings,Mumbai,Super Kings,24 runs,Chennai,Apr-06,2010,419142
Royals,Kings XI,Royals,9 wickets,Jaipur,Apr-07,2010,419143
KKR,Daredevils,KKR,14 runs,Eden Gardens,Apr-07,2010,419144
RCB,Chargers,Chargers,7 wickets,Bengaluru,Apr-08,2010,419145
Kings XI,Mumbai,Kings XI,6 wickets,Mohali,Apr-09,2010,419146
Chargers,Super Kings,Chargers,6 wickets,Nagpur,Apr-10,2010,419147
RCB,KKR,RCB,7 wickets,Bengaluru,Apr-10,2010,419148
Daredevils,Kings XI,Kings XI,7 wickets,Delhi,Apr-11,2010,419149
Royals,Mumbai,Mumbai,37 runs,Jaipur,Apr-11,2010,419150
Chargers,RCB,Chargers,13 runs,Nagpur,Apr-12,2010,419151
Mumbai,Daredevils,Mumbai,39 runs,Brabourne,Apr-13,2010,419152
Super Kings,KKR,Super Kings,9 wickets,Chennai,Apr-13,2010,419153
Royals,RCB,RCB,5 wickets,Jaipur,Apr-14,2010,419154
Super Kings,Daredevils,Daredevils,6 wickets,Chennai,Apr-15,2010,419155
Kings XI,Chargers,Chargers,5 wickets,Dharamsala,Apr-16,2010,419156
RCB,Mumbai,Mumbai,57 runs,Bengaluru,Apr-17,2010,419157
KKR,Royals,KKR,8 wickets,Eden Gardens,Apr-17,2010,419158
Kings XI,Super Kings,Super Kings,6 wickets,Dharamsala,Apr-18,2010,419159
Daredevils,Chargers,Chargers,11 runs,Delhi,Apr-18,2010,419160
KKR,Mumbai,KKR,9 wickets,Eden Gardens,Apr-19,2010,419161
Mumbai,RCB,Mumbai,35 runs,DY Patil,Apr-21,2010,419162
Super Kings,Chargers,Super Kings,38 runs,DY Patil,Apr-22,2010,419163
Chargers,RCB,RCB,9 wickets,DY Patil,Apr-24,2010,419164
Mumbai,Super Kings,Super Kings,22 runs,DY Patil,Apr-25,2010,419165
Super Kings,KKR,Super Kings,2 runs,Chennai,Apr-08,2011,501198
Chargers,Royals,Royals,8 wickets,Hyderabad,Apr-09,2011,501199
Kochi,RCB,RCB,6 wickets,Kochi,Apr-09,2011,501200
Daredevils,Mumbai,Mumbai,8 wickets,Delhi,Apr-10,2011,501201
Warriors,Kings XI,Warriors,7 wickets,DY Patil,Apr-10,2011,501202
KKR,Chargers,KKR,9 runs,Eden Gardens,Apr-11,2011,501203
Royals,Daredevils,Royals,6 wickets,Jaipur,Apr-12,2011,501204
RCB,Mumbai,Mumbai,9 wickets,Bengaluru,Apr-12,2011,501205
Kings XI,Super Kings,Kings XI,6 wickets,Mohali,Apr-13,2011,501206
Warriors,Kochi,Warriors,4 wickets,DY Patil,Apr-13,2011,501207
Chargers,RCB,Chargers,33 runs,Hyderabad,Apr-14,2011,501208
Royals,KKR,KKR,9 wickets,Jaipur,Apr-15,2011,501209
Mumbai,Kochi,Kochi,8 wickets,Wankhede,Apr-15,2011,501210
Super Kings,RCB,Super Kings,21 runs,Chennai,Apr-16,2011,501211
Chargers,Kings XI,Kings XI,8 wickets,Hyderabad,Apr-16,2011,501212
Warriors,Daredevils,Daredevils,3 wickets,DY Patil,Apr-17,2011,501213
KKR,Royals,KKR,8 wickets,Eden Gardens,Apr-17,2011,501214
Kochi,Super Kings,Kochi,7 wickets,Kochi,Apr-18,2011,501215
Daredevils,Chargers,Chargers,16 runs,Delhi,Apr-19,2011,501216
Mumbai,Warriors,Mumbai,7 wickets,Wankhede,Apr-20,2011,501218
KKR,Kochi,Kochi,6 runs,Eden Gardens,Apr-20,2011,501219
Kings XI,Royals,Kings XI,48 runs,Mohali,Apr-21,2011,501220
KKR,RCB,RCB,9 wickets,Eden Gardens,Apr-22,2011,501222
Mumbai,Super Kings,Mumbai,8 runs,Wankhede,Apr-22,2011,501221
Daredevils,Kings XI,Daredevils,29 runs,Delhi,Apr-23,2011,501223
Chargers,Mumbai,Mumbai,37 runs,Hyderabad,Apr-24,2011,501224
Royals,Kochi,Royals,8 wickets,Jaipur,Apr-24,2011,501225
Super Kings,Warriors,Super Kings,25 runs,Chennai,Apr-25,2011,501226
Daredevils,RCB,RCB,3 wickets,Delhi,Apr-26,2011,501227
Warriors,Super Kings,Super Kings,8 wickets,DY Patil,Apr-27,2011,501228
Kochi,Chargers,Chargers,55 runs,Kochi,Apr-27,2011,501229
Daredevils,KKR,KKR,17 runs,Delhi,Apr-28,2011,501230
Royals,Mumbai,Royals,7 wickets,Jaipur,Apr-29,2011,501231
RCB,Warriors,RCB,26 runs,Bengaluru,Apr-29,2011,501232
Kochi,Daredevils,Daredevils,38 runs,Kochi,Apr-30,2011,501233
KKR,Kings XI,KKR,8 wickets,Eden Gardens,Apr-30,2011,501234
Royals,Warriors,Royals,6 wickets,Jaipur,May-01,2011,501235
Super Kings,Chargers,Super Kings,19 runs,Chennai,May-01,2011,501236
Mumbai,Kings XI,Mumbai,23 runs,Wankhede,May-02,2011,501237
Daredevils,Kochi,Kochi,7 wickets,Delhi,May-02,2011,501238
Chargers,KKR,KKR,20 runs,Hyderabad,May-03,2011,501239
Super Kings,Royals,Super Kings,8 wickets,Chennai,May-04,2011,501240
Warriors,Mumbai,Mumbai,21 runs,DY Patil,May-04,2011,501241
Kochi,KKR,Kochi,17 runs,Kochi,May-05,2011,501242
Chargers,Daredevils,Daredevils,4 wickets,Hyderabad,May-05,2011,501243
RCB,Kings XI,RCB,85 runs,Bengaluru,May-06,2011,501244
KKR,Super Kings,KKR,10 runs,Eden Gardens,May-07,2011,501245
Mumbai,Daredevils,Mumbai,32 runs,Wankhede,May-07,2011,501246
RCB,Kochi,RCB,9 wickets,Bengaluru,May-08,2011,501247
Kings XI,Warriors,Warriors,5 wickets,Mohali,May-08,2011,501248
Royals,Super Kings,Super Kings,63 runs,Jaipur,May-09,2011,501249
Chargers,Warriors,Warriors,6 wickets,Hyderabad,May-10,2011,501250
Kings XI,Mumbai,Kings XI,76 runs,Mohali,May-10,2011,501251
Royals,RCB,RCB,9 wickets,Jaipur,May-11,2011,501252
Super Kings,Daredevils,Super Kings,18 runs,Chennai,May-12,2011,501253
Kochi,Kings XI,Kings XI,6 wickets,Indore,May-13,2011,501254
RCB,KKR,RCB,4 wickets,Bengaluru,May-14,2011,501255
Mumbai,Chargers,Chargers,10 runs,Wankhede,May-14,2011,501256
Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,May-15,2011,501257
Kochi,Royals,Kochi,8 wickets,Indore,May-15,2011,501258
Warriors,Chargers,Chargers,6 wickets,DY Patil,May-16,2011,501259
Kings XI,RCB,Kings XI,111 runs,Dharamsala,May-17,2011,501260
Super Kings,Kochi,Super Kings,11 runs,Chennai,May-18,2011,501261
Warriors,KKR,KKR,7 wickets,DY Patil,May-19,2011,501262
Mumbai,Royals,Royals,10 wickets,Wankhede,May-20,2011,501263
Kings XI,Chargers,Chargers,82 runs,Dharamsala,May-21,2011,501264
Daredevils,Warriors,no result,-,Delhi,May-21,2011,501265
RCB,Super Kings,RCB,8 wickets,Bengaluru,May-22,2011,501266
KKR,Mumbai,Mumbai,5 wickets,Eden Gardens,May-22,2011,501267
Super Kings,RCB,Super Kings,6 wickets,Wankhede,May-24,2011,501268
Mumbai,KKR,Mumbai,4 wickets,Wankhede,May-25,2011,501269
Mumbai,RCB,RCB,43 runs,Chennai,May-27,2011,501270
Super Kings,RCB,Super Kings,58 runs,Chennai,May-28,2011,501271
Super Kings,Mumbai,Mumbai,8 wickets,Chennai,Apr-04,2012,548306
KKR,Daredevils,Daredevils,8 wickets,Eden Gardens,Apr-05,2012,548307
Mumbai,Warriors,Warriors,28 runs,Wankhede,Apr-06,2012,548308
Royals,Kings XI,Royals,31 runs,Jaipur,Apr-06,2012,548309
RCB,Daredevils,RCB,20 runs,Bengaluru,Apr-07,2012,548310
Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,Apr-07,2012,548311
Royals,KKR,Royals,22 runs,Jaipur,Apr-08,2012,548312
Warriors,Kings XI,Warriors,22 runs,Pune,Apr-08,2012,548313
Chargers,Mumbai,Mumbai,5 wickets,Visakhapatnam,Apr-09,2012,548314
RCB,KKR,KKR,42 runs,Bengaluru,Apr-10,2012,548315
Daredevils,Super Kings,Daredevils,8 wickets,Delhi,Apr-10,2012,548316
Mumbai,Royals,Mumbai,27 runs,Wankhede,Apr-11,2012,548317
Super Kings,RCB,Super Kings,5 wickets,Chennai,Apr-12,2012,548318
Kings XI,Warriors,Kings XI,7 wickets,Mohali,Apr-12,2012,548319
KKR,Royals,KKR,5 wickets,Eden Gardens,Apr-13,2012,548320
Warriors,Super Kings,Warriors,7 wickets,Pune,Apr-14,2012,548322
KKR,Kings XI,Kings XI,2 runs,Eden Gardens,Apr-15,2012,548323
RCB,Royals,Royals,59 runs,Bengaluru,Apr-15,2012,548324
Mumbai,Daredevils,Daredevils,7 wickets,Wankhede,Apr-16,2012,548325
Royals,Chargers,Royals,5 wickets,Jaipur,Apr-17,2012,548326
RCB,Warriors,RCB,6 wickets,Bengaluru,Apr-17,2012,548327
Kings XI,KKR,KKR,8 wickets,Mohali,Apr-18,2012,548328
Daredevils,Chargers,Daredevils,5 wickets,Delhi,Apr-19,2012,548321
Super Kings,Warriors,Super Kings,13 runs,Chennai,Apr-19,2012,548330
Kings XI,RCB,RCB,5 wickets,Mohali,Apr-20,2012,548331
Super Kings,Royals,Super Kings,7 wickets,Chennai,Apr-21,2012,548332
Daredevils,Warriors,Warriors,20 runs,Delhi,Apr-21,2012,548333
Mumbai,Kings XI,Kings XI,6 wickets,Wankhede,Apr-22,2012,548334
Chargers,KKR,KKR,5 wickets,Cuttack,Apr-22,2012,548335
Royals,RCB,RCB,46 runs,Jaipur,Apr-23,2012,548336
Warriors,Daredevils,Daredevils,8 wickets,Pune,Apr-24,2012,548337
Kings XI,Mumbai,Mumbai,4 wickets,Mohali,Apr-25,2012,548339
RCB,Super Kings,no result,-,Bengaluru,Apr-25,2012,548340
Warriors,Chargers,Chargers,18 runs,Pune,Apr-26,2012,548341
Daredevils,Mumbai,Daredevils,37 runs,Delhi,Apr-27,2012,548342
Super Kings,Kings XI,Kings XI,7 runs,Chennai,Apr-28,2012,548343
KKR,RCB,KKR,47 runs,Eden Gardens,Apr-28,2012,548344
Daredevils,Royals,Daredevils,1 run,Delhi,Apr-29,2012,548345
Mumbai,Chargers,Mumbai,5 wickets,Wankhede,Apr-29,2012,548346
Super Kings,KKR,KKR,5 wickets,Chennai,Apr-30,2012,548347
Chargers,Warriors,Chargers,13 runs,Cuttack,May-01,2012,548348
Royals,Daredevils,Daredevils,6 wickets,Jaipur,May-01,2012,548349
RCB,Kings XI,Kings XI,4 wickets,Bengaluru,May-02,2012,548350
Warriors,Mumbai,Mumbai,1 run,Pune,May-03,2012,548351
Super Kings,Chargers,Super Kings,10 runs,Chennai,May-04,2012,548352
KKR,Warriors,KKR,7 runs,Eden Gardens,May-05,2012,548353
Kings XI,Royals,Royals,43 runs,Mohali,May-05,2012,548354
Mumbai,Super Kings,Mumbai,2 wickets,Wankhede,May-06,2012,548355
RCB,Chargers,RCB,5 wickets,Bengaluru,May-06,2012,548356
Daredevils,KKR,KKR,6 wickets,Delhi,May-07,2012,548357
Warriors,Royals,Royals,7 wickets,Pune,May-08,2012,548358
Chargers,Kings XI,Kings XI,25 runs,Hyderabad,May-08,2012,548359
Mumbai,RCB,RCB,9 wickets,Wankhede,May-09,2012,548360
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,May-10,2012,548329
Royals,Super Kings,Super Kings,4 wickets,Jaipur,May-10,2012,548361
Warriors,RCB,RCB,35 runs,Pune,May-11,2012,548362
KKR,Mumbai,Mumbai,27 runs,Eden Gardens,May-12,2012,548363
Super Kings,Daredevils,Super Kings,9 wickets,Chennai,May-12,2012,548364
Royals,Warriors,Royals,45 runs,Jaipur,May-13,2012,548365
Kings XI,Chargers,Kings XI,4 wickets,Mohali,May-13,2012,548366
RCB,Mumbai,Mumbai,5 wickets,Bengaluru,May-14,2012,548367
KKR,Super Kings,Super Kings,5 wickets,Eden Gardens,May-14,2012,548368
Daredevils,Kings XI,Daredevils,5 wickets,Delhi,May-15,2012,548369
Mumbai,KKR,KKR,32 runs,Wankhede,May-16,2012,548370
Kings XI,Super Kings,Kings XI,6 wickets,Dharamsala,May-17,2012,548371
Daredevils,RCB,RCB,21 runs,Delhi,May-17,2012,548372
Chargers,Royals,Chargers,5 wickets,Hyderabad,May-18,2012,548373
Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,May-19,2012,548374
Warriors,KKR,KKR,34 runs,Pune,May-19,2012,548375
Chargers,RCB,Chargers,9 runs,Hyderabad,May-20,2012,548376
Royals,Mumbai,Mumbai,10 wickets,Jaipur,May-20,2012,548377
Daredevils,KKR,KKR,18 runs,Pune,May-22,2012,548378
Super Kings,Mumbai,Super Kings,38 runs,Bengaluru,May-23,2012,548379
Super Kings,Daredevils,Super Kings,86 runs,Chennai,May-25,2012,548380
Super Kings,KKR,KKR,5 wickets,Chennai,May-27,2012,548381
KKR,Daredevils,KKR,6 wickets,Eden Gardens,Apr-03,2013,597998
RCB,Mumbai,RCB,2 runs,Bengaluru,Apr-04,2013,597999
Sunrisers,Warriors,Sunrisers,22 runs,Hyderabad,Apr-05,2013,598000
Daredevils,Royals,Royals,5 runs,Delhi,Apr-06,2013,598001
Super Kings,Mumbai,Mumbai,9 runs,Chennai,Apr-06,2013,598002
Warriors,Kings XI,Kings XI,8 wickets,Pune,Apr-07,2013,598003
Sunrisers,RCB,tied,-,Hyderabad,Apr-07,2013,598004
Royals,KKR,Royals,19 runs,Jaipur,Apr-08,2013,598005
RCB,Sunrisers,RCB,7 wickets,Bengaluru,Apr-09,2013,598048
Mumbai,Daredevils,Mumbai,44 runs,Wankhede,Apr-09,2013,598006
Kings XI,Super Kings,Super Kings,10 wickets,Mohali,Apr-10,2013,598007
RCB,KKR,RCB,8 wickets,Bengaluru,Apr-11,2013,598008
Warriors,Royals,Warriors,7 wickets,Pune,Apr-11,2013,598009
Daredevils,Sunrisers,Sunrisers,3 wickets,Delhi,Apr-12,2013,598010
Mumbai,Warriors,Mumbai,41 runs,Wankhede,Apr-13,2013,598011
Super Kings,RCB,Super Kings,4 wickets,Chennai,Apr-13,2013,598012
KKR,Sunrisers,KKR,48 runs,Eden Gardens,Apr-14,2013,598013
Royals,Kings XI,Royals,6 wickets,Jaipur,Apr-14,2013,598014
Super Kings,Warriors,Warriors,24 runs,Chennai,Apr-15,2013,598015
Kings XI,KKR,Kings XI,4 runs,Mohali,Apr-16,2013,598016
RCB,Daredevils,tied,-,Bengaluru,Apr-16,2013,598017
Warriors,Sunrisers,Sunrisers,11 runs,Pune,Apr-17,2013,598018
Royals,Mumbai,Royals,87 runs,Jaipur,Apr-17,2013,598019
Daredevils,Super Kings,Super Kings,86 runs,Delhi,Apr-18,2013,598020
Sunrisers,Kings XI,Sunrisers,5 wickets,Hyderabad,Apr-19,2013,598021
KKR,Super Kings,Super Kings,4 wickets,Eden Gardens,Apr-20,2013,598022
RCB,Royals,RCB,7 wickets,Bengaluru,Apr-20,2013,598023
Daredevils,Mumbai,Daredevils,9 wickets,Delhi,Apr-21,2013,598024
Kings XI,Warriors,Kings XI,7 wickets,Mohali,Apr-21,2013,598025
Super Kings,Royals,Super Kings,5 wickets,Chennai,Apr-22,2013,598026
RCB,Warriors,RCB,130 runs,Bengaluru,Apr-23,2013,598027
Daredevils,Kings XI,Kings XI,5 wickets,Delhi,Apr-23,2013,598059
KKR,Mumbai,Mumbai,5 wickets,Eden Gardens,Apr-24,2013,598029
Super Kings,Sunrisers,Super Kings,5 wickets,Chennai,Apr-25,2013,598030
